,uuid,id,sex,weight,predicted_weight,area,width,height,MA,ma,eccentricity,perimeter,% area,symmetry,centroid_x,centroid_y,orientation,center distance,x,y
1134,a42b99175aa54bd2b242abdb2a2bbd6a,TA977,0,16.8,17.700000000000024,198468.74609652575,570,221,566.5975341796875,197.6573181152344,0.9371787251060252,1746.261097073555,55.236888282316244,0.2237183964240816,201.17902581125944,524.8364744935981,1.4783429405955248,108.05120371962957,246,96
496,c1d1a02c4bdd492e8c218e786593673d,TA0440,1,16.0,14.300000000000006,167566.55744228745,611,348,684.6245727539062,210.4831695556641,0.951566434189096,1918.16773211956,37.01225070106807,0.16577783482898253,238.6873192849026,481.5416558847024,-1.283247812617305,57.55662683491183,171,45
671,c0e8fb5bede94a4e9692ceeda22defbf,CG1741,0,27.2,26.80000000000005,256492.7625878357,640,347,686.870361328125,167.384033203125,0.96985295886182,1771.6652059555054,35.394247964109155,0.2310645023708573,228.6581406071784,404.0202028781518,1.1321892332969905,22.974552607542762,75,60
792,8a91430fbc1b45849d8fbfe23fe64b1b,TA0441,1,13.5,26.80000000000005,129259.88626847205,355,299,446.1651916503906,147.82569885253906,0.943516676868471,1056.5971026420593,45.03570728927357,0.4128197588944428,320.87547544868977,556.2445956535867,0.909954794138534,155.01443677487669,374,167
511,d494444a35b948008951ab2cb4b02214,TA5751,1,26.8,22.900000000000002,272729.2841228957,592,339,574.3350219726562,307.1004638671875,0.8450380711005525,1757.6580656766891,51.42391299065466,0.2640581749941356,257.1506049991312,476.7588417673474,-1.4070466178476655,55.476469214147215,186,118
878,e1bffe4283b848d5a24b92ea445444ff,TA347,0,20.4,26.80000000000005,237653.36741636661,512,442,633.5422973632812,188.3394927978516,0.9547903253278728,1571.4814404249191,32.02002161760484,0.20392474734929208,219.2666196260269,452.65284007862505,0.9156185804834929,35.367475260514624,189,30
20,310afc048d3745778237ebee3307e312,0251,0,24.2,20.400000000000002,276736.405532394,608,284,670.173828125,183.54283142089844,0.9617657317401324,1678.3199721574786,42.38843531599308,0.26832862888117304,266.10133201894644,377.97266235483636,-1.3515558204127491,52.91309236725041,63,133
1259,1ad8bb7b15f542f98f5aaeff3ac929b9,TA5751,1,26.8,16.10000000000001,318431.2260071654,615,310,631.1401977539062,273.2763061523437,0.901399552268186,1842.3271124362946,55.51925739781529,0.2806367604445585,304.0692560292851,549.6049741602067,-1.3662299206683708,141.0016989327869,219,134
1767,c6e754bc2484402cbbaddac54e9da9ec,TA5751,1,26.8,21.8,271539.6364204636,620,303,601.1596069335938,285.31195068359375,0.8802001543562479,1745.8418312072754,55.30089899524062,0.25326142686238395,255.57552966395332,468.50578865184013,-1.4978113294764501,47.152543386703385,153,124
896,58a19ab78479415fb7567ad688d2ddec,TA5751,1,26.8,27.2,274208.0518771227,582,343,565.1286010742188,308.15081787109375,0.8382568562274346,1743.6164355278015,50.83762886597938,0.2650804545107908,259.10829178620173,475.89551476663974,-1.382585804052781,55.30163892581437,193,120
1523,0eedf2e957cf43908c59e297cd137854,CG1746,1,24.6,26.80000000000005,219264.05108871748,305,425,458.4601440429688,235.6345977783203,0.8578083721616504,1463.959581375122,51.57929637133911,0.3679537827619897,244.1255737659724,462.02851944256827,0.415639220326166,38.25164898265528,300,49
1206,a87a641834ba4b92bf43c61a38670793,TA0160,1,20.2,25.5,181794.01319622298,433,194,421.9039916992188,184.046630859375,0.8998358290014676,1106.3473217487337,66.9588771801495,0.5420348738784493,181.19076689545932,481.27281876979936,-1.5337648180448464,82.08959537104859,243,82
1265,49f9bde4d2cd4a7191e624911291bc27,TA0432,0,14.3,26.799999999999986,171119.90455005286,444,347,496.23870849609375,209.0130920410156,0.9069702651626724,1477.3321647644045,41.3504210729424,0.2431517573552437,257.56471950778143,399.68807817589584,-1.0515278053129096,29.99314778692611,200,86
253,f3cba3b287af4e5e8661b57146676b8a,TA5751,1,26.8,16.1,265101.27329854976,641,284,620.9525756835938,276.5592041015625,0.8953421657927821,1770.1261019706726,58.26723209773461,0.2663346688134197,247.22001983964475,467.2173806208535,1.5699403249268031,43.81632885366579,135,117
728,f03fd08d4b2d4196b8603b53c026a285,TA0440,1,16.0,26.80000000000005,198065.2943438704,664,369,751.0878295898438,207.2154235839844,0.96119005531063,1855.2560447454453,37.48967332978173,0.2773425930654139,219.78714930699317,518.1096488633899,1.1687960798912371,96.2558327704266,181,17
